ticket_id,customer_id,product_id,issue_type,status,priority,created_at,resolved_at
TKT-000032,CUST-00989,PROD-002,Transaction Dispute,Closed,Medium,2026-02-03T21:32:43.611366+00:00,2026-02-16T21:32:43.611366+00:00
TKT-000033,CUST-00935,PROD-003,Login Issue,Closed,High,2025-09-19T14:40:06.551758+00:00,2025-10-03T14:40:06.551758+00:00
TKT-000034,CUST-00644,PROD-005,Account Inquiry,Open,Critical,2025-11-10T01:34:12.101417+00:00,
TKT-000035,CUST-00777,PROD-003,Card Replacement,Closed,Medium,2025-11-09T19:45:07.238837+00:00,2025-11-15T19:45:07.238837+00:00
TKT-000036,CUST-00109,PROD-002,Account Inquiry,Closed,Low,2025-08-09T22:30:58.918569+00:00,2025-08-20T22:30:58.918569+00:00
TKT-000037,CUST-00419,PROD-009,Fee Dispute,Resolved,Low,2026-04-04T13:25:11.734562+00:00,2026-04-06T13:25:11.734562+00:00
TKT-000038,CUST-00732,PROD-004,Login Issue,In Progress,High,2026-03-11T19:32:40.763768+00:00,
TKT-000039,CUST-00551,PROD-009,Login Issue,In Progress,Critical,2025-05-07T08:42:48.473788+00:00,
TKT-000040,CUST-00557,PROD-002,Account Inquiry,Closed,Low,2025-11-01T21:22:42.476523+00:00,2025-11-13T21:22:42.476523+00:00
TKT-000041,CUST-00747,PROD-002,Transaction Dispute,Closed,Critical,2025-10-12T17:29:57.182917+00:00,2025-10-16T17:29:57.182917+00:00
TKT-000042,CUST-00866,PROD-005,Login Issue,Resolved,High,2025-06-23T03:06:18.469129+00:00,2025-07-02T03:06:18.469129+00:00
TKT-000043,CUST-00882,PROD-004,Fee Dispute,Closed,High,2025-04-18T03:04:31.127589+00:00,2025-05-01T03:04:31.127589+00:00
TKT-000044,CUST-00402,PROD-004,Login Issue,Resolved,Low,2026-03-10T17:59:04.878086+00:00,2026-03-13T17:59:04.878086+00:00
TKT-000045,CUST-00856,PROD-005,Card Replacement,Closed,High,2025-12-06T11:50:26.126179+00:00,2025-12-11T11:50:26.126179+00:00
TKT-000046,CUST-00499,PROD-010,Card Replacement,Resolved,Critical,2026-03-04T20:45:48.337201+00:00,2026-03-05T20:45:48.337201+00:00
TKT-000047,CUST-00982,PROD-005,Account Inquiry,Resolved,High,2025-10-03T07:51:11.325234+00:00,2025-10-16T07:51:11.325234+00:00
TKT-000048,CUST-00204,PROD-005,Account Inquiry,Closed,Low,2025-09-20T13:50:45.272063+00:00,2025-09-30T13:50:45.272063+00:00
TKT-000049,CUST-00696,PROD-007,Account Inquiry,Resolved,High,2026-03-04T13:41:54.705648+00:00,2026-03-08T13:41:54.705648+00:00
TKT-000050,CUST-00233,PROD-001,Fee Dispute,Closed,Critical,2025-12-25T02:00:16.116596+00:00,2025-12-28T02:00:16.116596+00:00
TKT-000051,CUST-00249,PROD-002,Transaction Dispute,In Progress,Low,2025-09-04T13:15:52.673612+00:00,
TKT-000052,CUST-00291,PROD-002,Login Issue,Open,High,2025-11-26T15:35:36.807127+00:00,
TKT-000053,CUST-00447,PROD-002,Account Inquiry,Resolved,Low,2025-05-01T21:37:28.508728+00:00,2025-05-11T21:37:28.508728+00:00
TKT-000054,CUST-00986,PROD-005,Transaction Dispute,Closed,Low,2026-03-16T02:29:38.028484+00:00,2026-03-18T02:29:38.028484+00:00
TKT-000055,CUST-00380,PROD-008,Transaction Dispute,Resolved,High,2025-12-24T23:03:25.878762+00:00,2026-01-05T23:03:25.878762+00:00
TKT-000056,CUST-00579,PROD-002,Login Issue,Closed,Critical,2025-06-21T23:53:11.729966+00:00,2025-06-29T23:53:11.729966+00:00
TKT-000057,CUST-00116,PROD-003,Card Replacement,Resolved,Medium,2026-01-26T16:09:28.366281+00:00,2026-01-31T16:09:28.366281+00:00
TKT-000058,CUST-00118,PROD-004,Card Replacement,Closed,Critical,2026-01-21T23:51:42.320941+00:00,2026-01-23T23:51:42.320941+00:00
TKT-000059,CUST-00430,PROD-008,Transaction Dispute,Resolved,High,2026-01-01T05:49:51.285985+00:00,2026-01-08T05:49:51.285985+00:00
TKT-000060,CUST-00465,PROD-008,Transaction Dispute,Resolved,Critical,2025-08-25T01:08:28.948608+00:00,2025-09-02T01:08:28.948608+00:00
TKT-000061,CUST-00073,PROD-010,Transaction Dispute,Open,Low,2025-06-03T13:20:32.822976+00:00,
TKT-000062,CUST-00058,PROD-007,Login Issue,Open,Medium,2025-05-08T05:52:46.200650+00:00,
TKT-000063,CUST-00039,PROD-010,Account Inquiry,Closed,High,2025-07-02T00:58:40.548289+00:00,2025-07-06T00:58:40.548289+00:00
TKT-000064,CUST-00065,PROD-007,Account Inquiry,Closed,Medium,2025-12-04T06:05:36.655016+00:00,2025-12-09T06:05:36.655016+00:00
TKT-000065,CUST-00529,PROD-002,Login Issue,Resolved,Low,2025-07-22T07:35:30.215644+00:00,2025-07-29T07:35:30.215644+00:00
TKT-000066,CUST-00452,PROD-005,Card Replacement,Closed,Medium,2025-12-15T19:10:29.864573+00:00,2025-12-24T19:10:29.864573+00:00
TKT-000067,CUST-00499,PROD-001,Card Replacement,Resolved,Low,2025-12-30T05:46:03.918705+00:00,2026-01-08T05:46:03.918705+00:00
TKT-000068,CUST-00740,PROD-007,Login Issue,In Progress,Low,2025-04-28T12:16:08.179780+00:00,
TKT-000069,CUST-00283,PROD-005,Login Issue,Resolved,Low,2026-03-06T02:46:36.355469+00:00,2026-03-18T02:46:36.355469+00:00
TKT-000070,CUST-00205,PROD-005,Transaction Dispute,Closed,Medium,2026-02-17T20:51:48.100145+00:00,2026-03-03T20:51:48.100145+00:00
TKT-000071,CUST-00932,PROD-001,Card Replacement,Closed,Critical,2025-11-03T14:41:46.331105+00:00,2025-11-07T14:41:46.331105+00:00
TKT-000072,CUST-00727,PROD-010,Card Replacement,Closed,Critical,2026-02-12T19:05:07.464650+00:00,2026-02-26T19:05:07.464650+00:00
TKT-000073,CUST-00441,PROD-004,Transaction Dispute,Open,Critical,2025-08-28T18:50:54.351910+00:00,
TKT-000074,CUST-00068,PROD-001,Card Replacement,Resolved,Low,2025-09-13T20:43:23.051708+00:00,2025-09-15T20:43:23.051708+00:00
TKT-000075,CUST-00432,PROD-005,Account Inquiry,Closed,Low,2025-11-12T16:58:13.708739+00:00,2025-11-15T16:58:13.708739+00:00
TKT-000076,CUST-00623,PROD-003,Transaction Dispute,Closed,Critical,2025-11-23T12:29:56.125610+00:00,2025-12-01T12:29:56.125610+00:00
TKT-000077,CUST-00031,PROD-006,Login Issue,Resolved,Medium,2025-09-02T22:13:18.106061+00:00,2025-09-10T22:13:18.106061+00:00
TKT-000078,CUST-00248,PROD-007,Login Issue,Open,Medium,2026-03-24T03:14:14.836273+00:00,
TKT-000079,CUST-00069,PROD-005,Card Replacement,In Progress,Critical,2025-07-29T05:28:28.153501+00:00,
TKT-000080,CUST-00200,PROD-009,Card Replacement,Closed,Medium,2026-01-01T07:21:48.588840+00:00,2026-01-03T07:21:48.588840+00:00
TKT-000081,CUST-00633,PROD-004,Transaction Dispute,Resolved,Low,2025-07-14T07:11:15.716088+00:00,2025-07-21T07:11:15.716088+00:00
TKT-000082,CUST-00872,PROD-006,Login Issue,Open,Low,2025-10-01T12:22:07.411350+00:00,
TKT-000083,CUST-00938,PROD-006,Fee Dispute,Resolved,Low,2025-05-19T11:16:06.680278+00:00,2025-05-26T11:16:06.680278+00:00
TKT-000084,CUST-00471,PROD-004,Card Replacement,Closed,Low,2025-09-29T21:21:31.663093+00:00,2025-10-10T21:21:31.663093+00:00
TKT-000085,CUST-00237,PROD-002,Fee Dispute,In Progress,Low,2025-08-28T07:16:28.009630+00:00,
TKT-000086,CUST-00771,PROD-005,Login Issue,Closed,Critical,2026-02-25T06:08:04.726888+00:00,2026-03-09T06:08:04.726888+00:00
TKT-000087,CUST-00058,PROD-005,Account Inquiry,Resolved,Critical,2025-12-16T18:36:28.675379+00:00,2025-12-19T18:36:28.675379+00:00
TKT-000088,CUST-00053,PROD-007,Card Replacement,Resolved,Low,2026-01-07T23:58:47.371277+00:00,2026-01-10T23:58:47.371277+00:00
TKT-000089,CUST-00905,PROD-005,Card Replacement,Closed,Medium,2025-09-08T20:05:55.111813+00:00,2025-09-10T20:05:55.111813+00:00
TKT-000090,CUST-00410,PROD-005,Login Issue,Closed,Critical,2026-03-27T23:03:30.429091+00:00,2026-04-05T23:03:30.429091+00:00
TKT-000091,CUST-00534,PROD-005,Fee Dispute,Closed,Low,2025-06-16T20:34:18.998011+00:00,2025-06-22T20:34:18.998011+00:00
TKT-000092,CUST-00723,PROD-001,Card Replacement,In Progress,High,2026-03-18T07:35:03.344158+00:00,
TKT-000093,CUST-00279,PROD-009,Login Issue,Resolved,High,2026-03-22T12:33:45.549317+00:00,2026-03-29T12:33:45.549317+00:00
TKT-000094,CUST-00988,PROD-009,Account Inquiry,Resolved,Critical,2025-04-25T11:46:00.894577+00:00,2025-05-03T11:46:00.894577+00:00
TKT-000095,CUST-00859,PROD-003,Card Replacement,Resolved,Low,2026-02-17T17:22:38.076583+00:00,2026-03-03T17:22:38.076583+00:00
TKT-000096,CUST-00045,PROD-006,Fee Dispute,Resolved,Low,2025-11-11T13:43:30.251523+00:00,2025-11-18T13:43:30.251523+00:00
TKT-000097,CUST-00063,PROD-009,Card Replacement,Closed,Critical,2026-01-30T23:33:22.928079+00:00,2026-02-10T23:33:22.928079+00:00
TKT-000098,CUST-00005,PROD-003,Login Issue,Resolved,Low,2025-07-18T21:07:59.235282+00:00,2025-07-22T21:07:59.235282+00:00
TKT-000099,CUST-00854,PROD-007,Account Inquiry,Closed,Critical,2025-07-23T08:21:57.289709+00:00,2025-08-03T08:21:57.289709+00:00
TKT-000100,CUST-00359,PROD-003,Account Inquiry,Closed,Medium,2025-12-20T15:53:03.222847+00:00,2025-12-22T15:53:03.222847+00:00
TKT-000101,CUST-00549,PROD-006,Fee Dispute,Closed,Low,2025-09-22T09:50:13.319451+00:00,2025-09-27T09:50:13.319451+00:00
TKT-000102,CUST-00121,PROD-001,Fee Dispute,Closed,Medium,2025-12-19T13:07:40.776120+00:00,2026-01-01T13:07:40.776120+00:00
TKT-000103,CUST-00607,PROD-003,Login Issue,Closed,Low,2025-11-29T23:11:22.552341+00:00,2025-12-10T23:11:22.552341+00:00
TKT-000104,CUST-00583,PROD-001,Fee Dispute,Closed,Critical,2025-11-27T20:07:22.893883+00:00,2025-12-04T20:07:22.893883+00:00
TKT-000105,CUST-00621,PROD-005,Transaction Dispute,Closed,High,2025-09-07T10:36:25.510605+00:00,2025-09-12T10:36:25.510605+00:00
TKT-000106,CUST-00071,PROD-007,Transaction Dispute,Closed,High,2025-05-15T05:24:10.294881+00:00,2025-05-20T05:24:10.294881+00:00
TKT-000107,CUST-00130,PROD-009,Card Replacement,Resolved,Low,2026-01-11T09:59:05.535194+00:00,2026-01-25T09:59:05.535194+00:00
TKT-000108,CUST-00544,PROD-001,Card Replacement,Closed,Medium,2025-08-30T06:27:00.694090+00:00,2025-09-04T06:27:00.694090+00:00
TKT-000109,CUST-00849,PROD-007,Login Issue,Resolved,High,2025-04-10T22:14:15.537053+00:00,2025-04-23T22:14:15.537053+00:00
TKT-000110,CUST-00045,PROD-006,Card Replacement,Closed,Medium,2025-05-02T02:15:50.733379+00:00,2025-05-04T02:15:50.733379+00:00
TKT-000111,CUST-00794,PROD-009,Card Replacement,Open,Critical,2025-10-28T18:50:50.671474+00:00,
TKT-000112,CUST-00470,PROD-007,Transaction Dispute,Resolved,Critical,2026-03-16T22:25:27.423442+00:00,2026-03-23T22:25:27.423442+00:00
TKT-000113,CUST-00082,PROD-001,Account Inquiry,Resolved,Medium,2025-04-17T14:06:09.760435+00:00,2025-04-24T14:06:09.760435+00:00
TKT-000114,CUST-00578,PROD-004,Card Replacement,Closed,Medium,2025-09-29T02:55:41.607411+00:00,2025-09-30T02:55:41.607411+00:00
TKT-000115,CUST-00198,PROD-002,Card Replacement,In Progress,Critical,2026-02-07T04:01:02.201112+00:00,
TKT-000116,CUST-00215,PROD-002,Card Replacement,Closed,Critical,2025-11-11T22:17:06.199607+00:00,2025-11-21T22:17:06.199607+00:00
TKT-000117,CUST-00103,PROD-008,Fee Dispute,Resolved,High,2026-04-02T14:16:10.833653+00:00,2026-04-13T14:16:10.833653+00:00
TKT-000118,CUST-00016,PROD-004,Card Replacement,Closed,Low,2025-10-20T14:00:30.117766+00:00,2025-10-23T14:00:30.117766+00:00
TKT-000119,CUST-00562,PROD-006,Account Inquiry,Resolved,Medium,2025-07-05T19:17:56.833632+00:00,2025-07-07T19:17:56.833632+00:00
TKT-000120,CUST-00177,PROD-003,Login Issue,Closed,Critical,2025-05-31T20:25:36.561887+00:00,2025-06-11T20:25:36.561887+00:00
TKT-000121,CUST-00998,PROD-001,Card Replacement,Open,High,2025-08-22T14:24:23.862468+00:00,
TKT-000122,CUST-00135,PROD-004,Transaction Dispute,Closed,Medium,2025-05-19T21:41:17.521413+00:00,2025-05-31T21:41:17.521413+00:00
TKT-000123,CUST-00457,PROD-009,Card Replacement,Closed,Critical,2026-02-08T13:34:11.937089+00:00,2026-02-10T13:34:11.937089+00:00
TKT-000124,CUST-00111,PROD-004,Account Inquiry,Resolved,Medium,2026-01-29T06:05:00.206713+00:00,2026-01-31T06:05:00.206713+00:00
TKT-000125,CUST-00279,PROD-009,Account Inquiry,Resolved,Low,2025-12-05T02:10:26.657740+00:00,2025-12-15T02:10:26.657740+00:00
TKT-000126,CUST-00373,PROD-004,Fee Dispute,Open,High,2025-04-10T18:17:16.550317+00:00,
TKT-000127,CUST-00633,PROD-010,Account Inquiry,Closed,Critical,2026-03-23T12:02:19.808309+00:00,2026-03-27T12:02:19.808309+00:00
TKT-000128,CUST-00941,PROD-006,Transaction Dispute,Closed,High,2025-09-03T09:10:23.968782+00:00,2025-09-04T09:10:23.968782+00:00
TKT-000129,CUST-00516,PROD-008,Transaction Dispute,Closed,High,2025-12-13T00:28:01.287087+00:00,2025-12-22T00:28:01.287087+00:00
TKT-000130,CUST-00425,PROD-010,Transaction Dispute,Closed,Medium,2026-01-21T13:43:44.028433+00:00,2026-02-02T13:43:44.028433+00:00
TKT-000131,CUST-00827,PROD-003,Login Issue,Closed,Medium,2025-10-04T12:35:35.937152+00:00,2025-10-08T12:35:35.937152+00:00
TKT-000132,CUST-00869,PROD-007,Card Replacement,Closed,High,2025-07-24T01:45:01.188370+00:00,2025-08-06T01:45:01.188370+00:00
TKT-000133,CUST-00333,PROD-005,Card Replacement,Closed,High,2026-01-14T08:05:06.354670+00:00,2026-01-18T08:05:06.354670+00:00
TKT-000134,CUST-00739,PROD-001,Transaction Dispute,Closed,Critical,2026-02-12T01:06:01.028325+00:00,2026-02-23T01:06:01.028325+00:00
TKT-000135,CUST-00573,PROD-006,Login Issue,Closed,Low,2025-11-22T11:50:43.960604+00:00,2025-11-28T11:50:43.960604+00:00
TKT-000136,CUST-00524,PROD-002,Transaction Dispute,In Progress,High,2025-05-15T09:21:10.702520+00:00,
TKT-000137,CUST-00813,PROD-005,Account Inquiry,Closed,Medium,2025-09-22T07:51:53.319806+00:00,2025-09-26T07:51:53.319806+00:00
TKT-000138,CUST-00393,PROD-002,Card Replacement,Closed,Low,2025-11-09T06:49:57.022519+00:00,2025-11-12T06:49:57.022519+00:00
TKT-000139,CUST-00961,PROD-001,Account Inquiry,Closed,Critical,2025-09-08T16:06:24.311244+00:00,2025-09-09T16:06:24.311244+00:00
TKT-000140,CUST-00924,PROD-005,Card Replacement,Closed,High,2025-04-18T17:22:30.295033+00:00,2025-04-26T17:22:30.295033+00:00
TKT-000141,CUST-00590,PROD-005,Fee Dispute,Closed,Low,2025-12-23T19:13:01.017643+00:00,2025-12-28T19:13:01.017643+00:00
TKT-000142,CUST-00259,PROD-006,Card Replacement,Closed,Medium,2026-03-29T11:44:31.207573+00:00,2026-03-30T11:44:31.207573+00:00
TKT-000143,CUST-00677,PROD-009,Card Replacement,In Progress,Critical,2025-10-18T03:21:16.268369+00:00,
TKT-000144,CUST-00490,PROD-004,Fee Dispute,Closed,Low,2025-07-03T11:14:41.922140+00:00,2025-07-04T11:14:41.922140+00:00
TKT-000145,CUST-00367,PROD-009,Fee Dispute,Resolved,High,2026-03-26T16:46:48.790721+00:00,2026-04-03T16:46:48.790721+00:00
TKT-000146,CUST-00819,PROD-009,Fee Dispute,Closed,Critical,2025-11-03T17:25:32.953894+00:00,2025-11-11T17:25:32.953894+00:00
TKT-000147,CUST-00090,PROD-005,Login Issue,Closed,Medium,2026-02-13T14:17:44.694725+00:00,2026-02-20T14:17:44.694725+00:00
TKT-000148,CUST-00885,PROD-008,Account Inquiry,Closed,High,2026-02-26T18:36:04.899126+00:00,2026-03-12T18:36:04.899126+00:00
TKT-000149,CUST-00578,PROD-005,Login Issue,Closed,Critical,2026-03-29T09:47:40.909513+00:00,2026-04-01T09:47:40.909513+00:00
TKT-000150,CUST-00023,PROD-005,Login Issue,In Progress,High,2025-06-21T05:38:13.198630+00:00,
TKT-000151,CUST-00798,PROD-008,Login Issue,Open,Medium,2025-11-02T00:01:01.624083+00:00,
TKT-000152,CUST-00172,PROD-008,Transaction Dispute,Closed,Low,2025-06-30T17:05:57.107923+00:00,2025-07-04T17:05:57.107923+00:00
TKT-000153,CUST-00982,PROD-008,Card Replacement,Resolved,High,2025-11-10T07:57:29.780286+00:00,2025-11-20T07:57:29.780286+00:00
TKT-000154,CUST-00392,PROD-007,Login Issue,Closed,High,2025-08-07T11:03:47.856561+00:00,2025-08-10T11:03:47.856561+00:00
TKT-000155,CUST-00565,PROD-002,Card Replacement,Closed,Medium,2026-01-11T00:43:46.863009+00:00,2026-01-13T00:43:46.863009+00:00
TKT-000156,CUST-00875,PROD-005,Fee Dispute,Resolved,Medium,2026-03-18T03:46:24.312708+00:00,2026-04-01T03:46:24.312708+00:00
TKT-000157,CUST-00197,PROD-001,Login Issue,Closed,Critical,2025-11-14T17:03:22.899486+00:00,2025-11-20T17:03:22.899486+00:00
TKT-000158,CUST-00805,PROD-007,Card Replacement,Closed,Critical,2025-04-29T06:41:40.470447+00:00,2025-05-05T06:41:40.470447+00:00
TKT-000159,CUST-00594,PROD-002,Account Inquiry,In Progress,High,2025-07-31T17:24:32.484373+00:00,
TKT-000160,CUST-00589,PROD-002,Fee Dispute,Resolved,Medium,2025-10-15T05:46:11.047185+00:00,2025-10-20T05:46:11.047185+00:00
TKT-000161,CUST-00190,PROD-007,Fee Dispute,Closed,Low,2025-12-24T20:05:32.503596+00:00,2025-12-25T20:05:32.503596+00:00
TKT-000162,CUST-00510,PROD-007,Transaction Dispute,Resolved,High,2025-08-11T14:42:43.647127+00:00,2025-08-21T14:42:43.647127+00:00
TKT-000163,CUST-00247,PROD-004,Login Issue,Closed,Critical,2025-04-09T01:11:34.548861+00:00,2025-04-11T01:11:34.548861+00:00
TKT-000164,CUST-00342,PROD-008,Fee Dispute,Closed,Medium,2025-05-07T08:01:27.736072+00:00,2025-05-17T08:01:27.736072+00:00
TKT-000165,CUST-00094,PROD-006,Fee Dispute,Open,Medium,2026-02-10T01:29:40.799096+00:00,
TKT-000166,CUST-00098,PROD-004,Login Issue,Closed,Medium,2025-07-11T17:08:08.318067+00:00,2025-07-13T17:08:08.318067+00:00
TKT-000167,CUST-00652,PROD-004,Login Issue,Closed,High,2026-03-14T20:38:17.175615+00:00,2026-03-16T20:38:17.175615+00:00
TKT-000168,CUST-00002,PROD-009,Account Inquiry,In Progress,Critical,2025-05-25T11:49:29.637362+00:00,
TKT-000169,CUST-00882,PROD-004,Login Issue,Closed,Low,2025-10-11T13:51:56.806387+00:00,2025-10-13T13:51:56.806387+00:00
TKT-000170,CUST-00736,PROD-001,Login Issue,Open,Medium,2025-06-17T10:02:14.921869+00:00,
TKT-000171,CUST-00732,PROD-008,Card Replacement,Open,Medium,2026-03-31T21:13:45.948985+00:00,
TKT-000172,CUST-00398,PROD-007,Transaction Dispute,Resolved,Low,2025-08-31T21:51:15.149077+00:00,2025-09-05T21:51:15.149077+00:00
TKT-000173,CUST-00075,PROD-002,Card Replacement,Resolved,Low,2025-05-09T17:55:35.266705+00:00,2025-05-20T17:55:35.266705+00:00
TKT-000174,CUST-00561,PROD-005,Card Replacement,Resolved,Medium,2026-02-01T12:22:30.972339+00:00,2026-02-08T12:22:30.972339+00:00
TKT-000175,CUST-00173,PROD-008,Login Issue,Closed,Critical,2025-11-12T22:00:57.184616+00:00,2025-11-16T22:00:57.184616+00:00
TKT-000176,CUST-00957,PROD-006,Account Inquiry,Resolved,Medium,2025-10-11T20:22:08.562920+00:00,2025-10-17T20:22:08.562920+00:00
TKT-000177,CUST-00252,PROD-006,Transaction Dispute,Closed,Critical,2025-09-09T16:31:55.475286+00:00,2025-09-20T16:31:55.475286+00:00
TKT-000178,CUST-00276,PROD-010,Transaction Dispute,Resolved,Low,2026-03-25T11:57:08.583209+00:00,2026-04-08T11:57:08.583209+00:00
TKT-000179,CUST-00667,PROD-006,Transaction Dispute,Closed,Medium,2025-05-24T20:39:38.740739+00:00,2025-06-04T20:39:38.740739+00:00
TKT-000180,CUST-00628,PROD-002,Transaction Dispute,Resolved,Medium,2025-11-05T08:11:06.157396+00:00,2025-11-19T08:11:06.157396+00:00
TKT-000181,CUST-00489,PROD-001,Login Issue,Closed,Low,2026-03-16T16:22:01.961928+00:00,2026-03-19T16:22:01.961928+00:00
TKT-000182,CUST-00984,PROD-001,Transaction Dispute,Open,Critical,2026-02-05T22:01:28.831930+00:00,
TKT-000183,CUST-00813,PROD-008,Card Replacement,Resolved,Low,2025-08-10T00:29:56.764425+00:00,2025-08-22T00:29:56.764425+00:00
TKT-000184,CUST-00773,PROD-006,Card Replacement,Closed,Critical,2025-11-17T01:48:00.368367+00:00,2025-11-25T01:48:00.368367+00:00
TKT-000185,CUST-00487,PROD-004,Login Issue,Open,Low,2025-08-12T10:15:21.401279+00:00,
TKT-000186,CUST-00291,PROD-009,Card Replacement,Closed,Medium,2025-10-13T13:16:45.809119+00:00,2025-10-19T13:16:45.809119+00:00
TKT-000187,CUST-00252,PROD-007,Transaction Dispute,Closed,Low,2026-03-10T16:53:23.664381+00:00,2026-03-21T16:53:23.664381+00:00
TKT-000188,CUST-00627,PROD-002,Transaction Dispute,Closed,High,2026-03-03T04:22:46.894445+00:00,2026-03-08T04:22:46.894445+00:00
TKT-000189,CUST-00119,PROD-001,Card Replacement,Closed,High,2026-04-04T09:37:09.467715+00:00,2026-04-16T09:37:09.467715+00:00
TKT-000190,CUST-00355,PROD-005,Account Inquiry,Closed,Low,2026-03-09T20:06:37.652255+00:00,2026-03-15T20:06:37.652255+00:00
TKT-000191,CUST-00986,PROD-007,Transaction Dispute,Open,High,2025-10-28T14:56:45.540835+00:00,
TKT-000192,CUST-00335,PROD-005,Fee Dispute,Resolved,Critical,2025-09-09T23:29:25.585068+00:00,2025-09-23T23:29:25.585068+00:00
TKT-000193,CUST-00558,PROD-006,Card Replacement,Open,Critical,2025-08-25T19:41:31.276658+00:00,
TKT-000194,CUST-00304,PROD-007,Login Issue,Closed,Critical,2025-08-18T11:43:01.688778+00:00,2025-08-19T11:43:01.688778+00:00
TKT-000195,CUST-00756,PROD-004,Login Issue,Closed,High,2025-10-25T01:33:21.052742+00:00,2025-10-28T01:33:21.052742+00:00
